typeId,typeName,date,percent
2,Nitric Oxide,2016-07-29,-61.04
2,Nitric Oxide,2016-07-30,-61.04
2,Nitric Oxide,2016-07-31,-74.03
2,Nitric Oxide,2016-08-01,0.00
2,Nitric Oxide,2016-08-02,0.00
2,Nitric Oxide,2016-08-03,-87.01
2,Nitric Oxide,2016-08-04,-74.03
2,Nitric Oxide,2016-08-05,-48.05
2,Nitric Oxide,2016-08-06,-22.08
2,Nitric Oxide,2016-08-07,-61.04
2,Nitric Oxide,2016-08-08,-61.04
2,Nitric Oxide,2016-08-09,-61.04
2,Nitric Oxide,2016-08-10,-61.04
2,Nitric Oxide,2016-08-11,-61.04
2,Nitric Oxide,2016-08-12,-61.04
2,Nitric Oxide,2016-08-13,-61.04
2,Nitric Oxide,2016-08-14,-48.05
2,Nitric Oxide,2016-08-15,-48.05
2,Nitric Oxide,2016-08-16,-61.04
2,Nitric Oxide,2016-08-17,-74.03
2,Nitric Oxide,2016-08-18,-74.03
2,Nitric Oxide,2016-08-19,-74.03
2,Nitric Oxide,2016-08-20,-87.01
2,Nitric Oxide,2016-08-21,-87.01
2,Nitric Oxide,2016-08-22,-74.03
2,Nitric Oxide,2016-08-23,-61.04
2,Nitric Oxide,2016-08-24,-48.05
2,Nitric Oxide,2016-08-25,55.84
2,Nitric Oxide,2016-08-26,-22.08
2,Nitric Oxide,2016-08-27,-35.06
2,Nitric Oxide,2016-08-28,-74.03
2,Nitric Oxide,2016-08-29,-74.03
2,Nitric Oxide,2016-08-30,-35.06
2,Nitric Oxide,2016-08-31,-61.04
2,Nitric Oxide,2016-09-01,-22.08
2,Nitric Oxide,2016-09-02,-61.04
2,Nitric Oxide,2016-09-03,-22.08
2,Nitric Oxide,2016-09-04,-74.03
2,Nitric Oxide,2016-09-05,3.90
2,Nitric Oxide,2016-09-06,-9.09
2,Nitric Oxide,2016-09-07,0.00
2,Nitric Oxide,2016-09-08,0.00
2,Nitric Oxide,2016-09-09,-48.05
2,Nitric Oxide,2016-09-10,-48.05
2,Nitric Oxide,2016-09-11,3.90
2,Nitric Oxide,2016-09-12,-61.04
2,Nitric Oxide,2016-09-13,29.87
2,Nitric Oxide,2016-09-14,-61.04
2,Nitric Oxide,2016-09-15,55.84
2,Nitric Oxide,2016-09-16,-61.04
2,Nitric Oxide,2016-09-17,-35.06
2,Nitric Oxide,2016-09-18,-48.05
2,Nitric Oxide,2016-09-19,-48.05
2,Nitric Oxide,2016-09-20,3.90
2,Nitric Oxide,2016-09-21,29.87
2,Nitric Oxide,2016-09-22,-35.06
2,Nitric Oxide,2016-09-23,55.84
2,Nitric Oxide,2016-09-24,-74.03
2,Nitric Oxide,2016-09-25,-87.01
2,Nitric Oxide,2016-09-26,-48.05
2,Nitric Oxide,2016-09-27,-48.05
2,Nitric Oxide,2016-09-28,-61.04
2,Nitric Oxide,2016-09-29,-61.04
2,Nitric Oxide,2016-09-30,-35.06
2,Nitric Oxide,2016-10-01,-74.03
2,Nitric Oxide,2016-10-02,42.86
2,Nitric Oxide,2016-10-03,29.87
2,Nitric Oxide,2016-10-04,-35.06
2,Nitric Oxide,2016-10-05,-61.04
2,Nitric Oxide,2016-10-06,-35.06
2,Nitric Oxide,2016-10-07,-22.08
2,Nitric Oxide,2016-10-08,-48.05
2,Nitric Oxide,2016-10-09,-61.04
2,Nitric Oxide,2016-10-10,68.83
2,Nitric Oxide,2016-10-11,-9.09
2,Nitric Oxide,2016-10-12,-48.05
2,Nitric Oxide,2016-10-13,-9.09
2,Nitric Oxide,2016-10-14,55.84
2,Nitric Oxide,2016-10-15,-48.05
2,Nitric Oxide,2016-10-16,-87.01
2,Nitric Oxide,2016-10-17,-74.03
2,Nitric Oxide,2016-10-18,-61.04
2,Nitric Oxide,2016-10-19,-9.09
2,Nitric Oxide,2016-10-20,120.78
2,Nitric Oxide,2016-10-21,380.52
2,Nitric Oxide,2016-10-22,172.73
2,Nitric Oxide,2016-10-23,-74.03
2,Nitric Oxide,2016-10-24,3.90
2,Nitric Oxide,2016-10-25,237.66
2,Nitric Oxide,2016-10-26,16.88
2,Nitric Oxide,2016-10-27,42.86
2,Nitric Oxide,2016-10-28,-61.04
2,Nitric Oxide,2016-10-29,-35.06
2,Nitric Oxide,2016-10-30,-48.05
2,Nitric Oxide,2016-10-31,497.40
2,Nitric Oxide,2016-11-01,107.79
2,Nitric Oxide,2016-11-02,328.57
2,Nitric Oxide,2016-11-03,380.52
2,Nitric Oxide,2016-11-04,133.77
2,Nitric Oxide,2016-11-05,42.86
2,Nitric Oxide,2016-11-06,-35.06
2,Nitric Oxide,2016-11-07,3.90
2,Nitric Oxide,2016-11-08,133.77
2,Nitric Oxide,2016-11-09,-48.05
